,name,scdid,scid,nseId,bseId,stkname,scdid_href,stkname_href,href
0,3M India,MI42,B3M,3MINDIA,523395,3mindia,MI42,3mindia,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
1,Aarti Drugs,AD,AD,AARTIDRUGS,524348,aartidrugs,AD,aartidrugs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
2,Aarti Ind,AI45,AI,AARTIIND,524208,aartiindustries,AI45,aartiindustries,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
3,AAVAS Financier,AF17,AF32,AAVAS,541988,aavasfinanciers,AF17,aavasfinanciers,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
4,AB Capital,ABC9,ABC07,ABCAPITAL,540691,adityabirlacapital,ABC9,adityabirlacapital,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
5,ABB India,ABB,ABB,ABB,500002,abbindia,ABB,abbindia,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
6,Abbott India,AI51,KP,ABBOTINDIA,500488,abbottindia,AI51,abbottindia,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
7,ACC,ACC06,ACC,ACC,500410,acc,ACC06,acc,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
8,Adani Enterpris,AE13,AE01,ADANIENT,512599,adanienterprises,AE13,adanienterprises,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
9,Adani Ports,MPS,MPS,ADANIPORTS,532921,adaniportsspecialeconomiczone,MPS,adaniportsspecialeconomiczone,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
10,Adani Power,AP11,AP26,ADANIPOWER,533096,adanipower,AP11,adanipower,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
11,Adani Total Gas,ADG01,ADG01,ATGL,542066,adanitotalgas,ADG01,adanitotalgas,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
12,Adani Trans,AT22,AT18,ADANITRANS,539254,adanitransmission,AT22,adanitransmission,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
13,Aditya Birla F,PFR,PFR,ABFRL,535755,adityabirlafashionretail,PFR,adityabirlafashionretail,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
14,Advanced Enzyme,AET,AET02,ADVENZYMES,540025,advancedenzymetechnologies,AET,advancedenzymetechnologies,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
15,Aegis Logistics,AL9,AC02,AEGISCHEM,500003,aegislogistics,AL9,aegislogistics,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
16,AIA Engineering,AIE01,AIE01,AIAENG,532683,aiaengineering,AIE01,aiaengineering,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
17,Ajanta Pharma,AP22,AP22,AJANTPHARM,532331,ajantapharma,AP22,ajantapharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
18,Akzo Nobel,ICI,ICI,AKZOINDIA,500710,akzonobelindia,ICI,akzonobelindia,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
19,Alembic Pharma,AP35,AP29,APLLTD,533573,alembicpharmaceuticals,AP35,alembicpharmaceuticals,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
20,Alkem Lab,AL05,AL16,ALKEM,539523,alkemlaboratories,AL05,alkemlaboratories,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
21,Alkyl Amines,AAC,AAC,ALKYLAMINE,506767,alkylamineschemicals,AAC,alkylamineschemicals,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC
22,Allcargo,AGL02,AGL02,ALLCARGO,532749,allcargologistics,AGL02,allcargologistics,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
23,Alok Industries,AI54,ATI,ALOKINDS,521070,alokindustries,AI54,alokindustries,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/alokindustries/AI54
24,Amara Raja Batt,ARB,ARB,AMARAJABAT,500008,amararajabatteries,ARB,amararajabatteries,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
25,Amber Enterpris,AEI01,AEI01,AMBER,540902,amberenterprisesindialimited,AEI01,amberenterprisesindialimited,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
26,Ambuja Cements,AC18,GAC,AMBUJACEM,500425,ambujacements,AC18,ambujacements,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
27,APL Apollo,BT09,BT09,APLAPOLLO,533758,aplapollotubes,BT09,aplapollotubes,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
28,Apollo Hospital,AHE,AHE,APOLLOHOSP,508869,apollohospitalsenterprises,AHE,apollohospitalsenterprises,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
