title,url,seoName,companyid
Adani Ports & Special Economic Zone Ltd.,/adani-ports-special-economic-zone-ltd/stocks/companyid-20316.cms,adani-ports-special-economic-zone-ltd,20316
Indiabulls Housing Finance Ltd.,/indiabulls-housing-finance-ltd/stocks/companyid-15580.cms,indiabulls-housing-finance-ltd,15580
Spicejet Ltd.,/spicejet-ltd/stocks/companyid-7876.cms,spicejet-ltd,7876
National Fertilizers Ltd.,/national-fertilizers-ltd/stocks/companyid-11632.cms,national-fertilizers-ltd,11632
Coromandel International Ltd.,/coromandel-international-ltd/stocks/companyid-13851.cms,coromandel-international-ltd,13851
Bank of Maharashtra,/bank-of-maharashtra/stocks/companyid-12283.cms,bank-of-maharashtra,12283
Shree Cements Ltd.,/shree-cements-ltd/stocks/companyid-13129.cms,shree-cements-ltd,13129
Cholamandalam Financial Holdings Ltd.,/cholamandalam-financial-holdings-ltd/stocks/companyid-12889.cms,cholamandalam-financial-holdings-ltd,12889
Bharat Electronics Ltd.,/bharat-electronics-ltd/stocks/companyid-11945.cms,bharat-electronics-ltd,11945
Jindal Stainless Ltd.,/jindal-stainless-ltd/stocks/companyid-750.cms,jindal-stainless-ltd,750
Kalpataru Power Transmissions Ltd.,/kalpataru-power-transmissions-ltd/stocks/companyid-8534.cms,kalpataru-power-transmissions-ltd,8534
Nestle India Ltd.,/nestle-india-ltd/stocks/companyid-13330.cms,nestle-india-ltd,13330
Rain Industries Ltd.,/rain-industries-ltd/stocks/companyid-13252.cms,rain-industries-ltd,13252
Chambal Fertilisers & Chemicals Ltd.,/chambal-fertilisers-chemicals-ltd/stocks/companyid-10777.cms,chambal-fertilisers-chemicals-ltd,10777
ICICI Lombard General Insurance Company Ltd.,/icici-lombard-general-insurance-company-ltd/stocks/companyid-1883.cms,icici-lombard-general-insurance-company-ltd,1883
Bandhan Bank Ltd.,/bandhan-bank-ltd/stocks/companyid-67665.cms,bandhan-bank-ltd,67665
NMDC Ltd.,/nmdc-ltd/stocks/companyid-11633.cms,nmdc-ltd,11633
Gujarat State Petronet Ltd.,/gujarat-state-petronet-ltd/stocks/companyid-2101.cms,gujarat-state-petronet-ltd,2101
Bombay Burmah Trading Corporation Ltd.,/bombay-burmah-trading-corporation-ltd/stocks/companyid-13945.cms,bombay-burmah-trading-corporation-ltd,13945
Godrej Industries Ltd.,/godrej-industries-ltd/stocks/companyid-11764.cms,godrej-industries-ltd,11764
Mahindra & Mahindra Financial Services Ltd.,/mahindra-mahindra-financial-services-ltd/stocks/companyid-3540.cms,mahindra-mahindra-financial-services-ltd,3540
KEC International Ltd.,/kec-international-ltd/stocks/companyid-16054.cms,kec-international-ltd,16054
CESC Ltd.,/cesc-ltd/stocks/companyid-13911.cms,cesc-ltd,13911
Britannia Industries Ltd.,/britannia-industries-ltd/stocks/companyid-13934.cms,britannia-industries-ltd,13934
NLC India Ltd.,/nlc-india-ltd/stocks/companyid-12317.cms,nlc-india-ltd,12317
Jindal Saw Ltd.,/jindal-saw-ltd/stocks/companyid-13149.cms,jindal-saw-ltd,13149
Adani Transmission Ltd.,/adani-transmission-ltd/stocks/companyid-57724.cms,adani-transmission-ltd,57724
Apollo Hospitals Enterprise Ltd.,/apollo-hospitals-enterprise-ltd/stocks/companyid-62.cms,apollo-hospitals-enterprise-ltd,62
Varroc Engineering Ltd.,/varroc-engineering-ltd/stocks/companyid-68496.cms,varroc-engineering-ltd,68496
Larsen & Toubro Infotech Ltd.,/larsen-toubro-infotech-ltd/stocks/companyid-3318.cms,larsen-toubro-infotech-ltd,3318
Bengal & Assam Company Ltd.,/bengal-assam-company-ltd/stocks/companyid-20086.cms,bengal-assam-company-ltd,20086
Jaiprakash Associates Ltd.,/jaiprakash-associates-ltd/stocks/companyid-1481.cms,jaiprakash-associates-ltd,1481
Quess Corp Ltd.,/quess-corp-ltd/stocks/companyid-55515.cms,quess-corp-ltd,55515
NHPC Ltd.,/nhpc-ltd/stocks/companyid-12536.cms,nhpc-ltd,12536
Glenmark Pharmaceuticals Ltd.,/glenmark-pharmaceuticals-ltd/stocks/companyid-4255.cms,glenmark-pharmaceuticals-ltd,4255
RBL Bank Ltd.,/rbl-bank-ltd/stocks/companyid-7750.cms,rbl-bank-ltd,7750
Bosch Ltd.,/bosch-ltd/stocks/companyid-11911.cms,bosch-ltd,11911
Gujarat Gas Ltd.,/gujarat-gas-ltd/stocks/companyid-59030.cms,gujarat-gas-ltd,59030
Welspun Corp Ltd.,/welspun-corp-ltd/stocks/companyid-5032.cms,welspun-corp-ltd,5032
Godrej Consumer Products Ltd.,/godrej-consumer-products-ltd/stocks/companyid-1908.cms,godrej-consumer-products-ltd,1908
Dalmia Bharat Ltd.,/dalmia-bharat-ltd/stocks/companyid-1846307.cms,dalmia-bharat-ltd,1846307
Dilip Buildcon Ltd.,/dilip-buildcon-ltd/stocks/companyid-49439.cms,dilip-buildcon-ltd,49439
Rashtriya Chemicals & Fertilizers Ltd.,/rashtriya-chemicals-fertilizers-ltd/stocks/companyid-11948.cms,rashtriya-chemicals-fertilizers-ltd,11948
Tata Consumer Products Ltd.,/tata-consumer-products-ltd/stocks/companyid-12929.cms,tata-consumer-products-ltd,12929
SBI Cards and Payment Services Ltd.,/sbi-cards-and-payment-services-ltd/stocks/companyid-21826.cms,sbi-cards-and-payment-services-ltd,21826
Eicher Motors Ltd.,/eicher-motors-ltd/stocks/companyid-13787.cms,eicher-motors-ltd,13787
Muthoot Finance Ltd.,/muthoot-finance-ltd/stocks/companyid-33218.cms,muthoot-finance-ltd,33218
Edelweiss Financial Services Ltd.,/edelweiss-financial-services-ltd/stocks/companyid-19100.cms,edelweiss-financial-services-ltd,19100
Dewan Housing Finance Corporation Ltd.,/dewan-housing-finance-corporation-ltd/stocks/companyid-12024.cms,dewan-housing-finance-corporation-ltd,12024
Jindal Stainless (Hisar) Ltd.,/jindal-stainless-hisar-ltd/stocks/companyid-61755.cms,jindal-stainless-hisar-ltd,61755
Havells India Ltd.,/havells-india-ltd/stocks/companyid-10507.cms,havells-india-ltd,10507
United Spirits Ltd.,/united-spirits-ltd/stocks/companyid-1714.cms,united-spirits-ltd,1714
GMR Infrastructure Ltd.,/gmr-infrastructure-ltd/stocks/companyid-1428.cms,gmr-infrastructure-ltd,1428
JSW Energy Ltd.,/jsw-energy-ltd/stocks/companyid-19818.cms,jsw-energy-ltd,19818
Jubilant Life Sciences Ltd.,/jubilant-life-sciences-ltd/stocks/companyid-12828.cms,jubilant-life-sciences-ltd,12828
